geo,indicator,forecast_year,forecast_value,model_used
FR41,bed_places,2024,66799.88693439559,Single
FR42,bed_places,2024,79195.0497180006,Single
FR43,bed_places,2024,65989.74879704259,Single
FR51,bed_places,2024,325690.3174056693,Single
FR52,bed_places,2024,383774.0275567165,Single
FR53,bed_places,2024,203337.22698227438,Single
FR61,bed_places,2024,496210.65129805234,Single
FR62,bed_places,2024,294539.02924984583,Single
FR63,bed_places,2024,57844.90524142096,Single
FR71,bed_places,2024,602307.859485873,Single
FR72,bed_places,2024,122836.24932415925,Single
FR81,bed_places,2024,495531.6458183007,Single
FR82,bed_places,2024,625047.9516108979,Single
FR83,bed_places,2024,155800.35631732782,Single
FRA1,bed_places,2024,6132.531049222212,Single
FRA2,bed_places,2024,4987.330078125,Single
FRA3,bed_places,2024,3146.047195690878,Single
FRA4,bed_places,2024,5813.268843614414,Single
FRA5,bed_places,2024,477.1256103515625,Single
FRZZ,bed_places,2024,477.1256103515625,Single
HR04,bed_places,2024,91464.28709297095,Single
HU10,bed_places,2024,77658.99945014283,Single
HUZZ,bed_places,2024,477.1256103515625,Single
IE01,bed_places,2024,48959.79968340445,Single
IE02,bed_places,2024,131301.74951735087,Single
IS00,bed_places,2024,46823.929235963304,Single
ITZZ,bed_places,2024,477.1256103515625,Single
LT00,bed_places,2024,78567.93984340955,Single
MTZZ,bed_places,2024,477.1256103515625,Single
NL31,bed_places,2024,46704.660592630215,Single
NL33,bed_places,2024,104919.8196647978,Single
NLZZ,bed_places,2024,477.1256103515625,Single
NOZZ,bed_places,2024,477.1256103515625,Single
PL11,bed_places,2024,23713.87622999544,Single
PL12,bed_places,2024,58807.83292232969,Single
PL31,bed_places,2024,28856.756787151426,Single
PL32,bed_places,2024,33097.40718733942,Single
PL33,bed_places,2024,15154.932351352858,Single
PL34,bed_places,2024,15037.789955647664,Single
PLZZ,bed_places,2024,477.1256103515625,Single
PT16,bed_places,2024,137383.11457841453,Single
PT17,bed_places,2024,161464.9734535101,Single
PT18,bed_places,2024,55137.762124165136,Single
TR10,bed_places,2024,477.1256103515625,Single
TR33,bed_places,2024,477.1256103515625,Single
TR51,bed_places,2024,477.1256103515625,Single
TR52,bed_places,2024,477.1256103515625,Single
TR63,bed_places,2024,24176.4900986984,Single
TR71,bed_places,2024,477.1256103515625,Single
TR72,bed_places,2024,477.1256103515625,Single
TR81,bed_places,2024,477.1256103515625,Single
TRA1,bed_places,2024,477.1256103515625,Single
TRA2,bed_places,2024,477.1256103515625,Single
TRB1,bed_places,2024,9843.14218115316,Single
TRB2,bed_places,2024,477.1256103515625,Single
TRC1,bed_places,2024,477.1256103515625,Single
TRC2,bed_places,2024,477.1256103515625,Single
TRC3,bed_places,2024,477.1256103515625,Single
